"specimen","IMAGE","SCALE","LM01_x","LM02_x","LM03_x","LM04_x","LM05_x","LM06_x","LM07_x","LM08_x","LM09_x","LM10_x","LM11_x","LM12_x","LM13_x","LM14_x","LM15_x","LM16_x","LM17_x","LM18_x","LM19_x","LM20_x","LM21_x","LM01_y","LM02_y","LM03_y","LM04_y","LM05_y","LM06_y","LM07_y","LM08_y","LM09_y","LM10_y","LM11_y","LM12_y","LM13_y","LM14_y","LM15_y","LM16_y","LM17_y","LM18_y","LM19_y","LM20_y","LM21_y"
"Pongo","Pongo_USNM_49861_143602_Talus_Dorsal_L.png",0.003906,525,727,701,659,525,286,263,232,533,794,838,190,31,140,692,816,904,544,626,225,520,731,743,510,251,264,217,513,792,507,824,736,747,603,603,1130,1094,845,1052,225,166,903
"Pongo","Pongo_USNM_49862_143603_Talus_Dorsal_L.png",0.004587,557,744,695,654,552,385,374,348,559,807,835,322,199,285,749,869,912,659,618,373,634,691,673,493,299,302,312,509,720,499,713,633,706,612,612,983,929,744,949,266,229,830
"Homo sapiens","Homo_sapiens_98-183m_Talus_Dorsal_L.png",0.006006,670,946,891,932,677,510,413,430,663,1009,1041,372,287,341,777,922,1078,557,850,688,543,671,730,434,115,96,131,393,665,381,718,654,617,458,459,1030,988,727,929,92,65,703
"Homo sapiens","Homo_sapiens_98-4m_Talus_Dorsal_L",0.006896,592,787,746,698,588,399,303,391,581,857,881,321,204,255,678,764,920,523,635,495,477,756,701,472,266,249,295,546,751,496,710,685,752,641,628,1046,1031,864,968,224,189,798
"Homo sapiens","Homo_sapiens_98.113_Talus_Dorsal_L.png",0.00769,402,595,535,485,393,246,193,219,391,644,652,184,72,129,459,574,695,323,485,332,291,558,541,348,126,127,172,369,562,338,544,487,548,394,391,800,773,574,742,103,87,579
"Homo sapiens","Homo_sapiens_98.135_Talus_Dorsal_L.png",0.008196,423,595,615,620,422,327,268,268,426,667,679,232,189,225,504,553,694,329,570,505,335,481,480,314,141,127,159,335,498,307,532,485,449,337,336,772,764,615,673,116,57,528
"Homo sapiens","Homo_sapiens_98.136_Talus_Dorsal_L.png",0.007576,467,657,622,582,455,329,267,277,454,690,715,234,167,214,559,685,763,428,519,437,387,537,518,329,121,119,140,331,524,327,528,452,482,355,355,811,761,545,752,97,64,580
"Homo sapiens","Homo_sapiens_98.58_Talus_Dorsal_L.png",0.007691,464,698,681,675,454,406,344,336,457,739,762,316,259,295,598,713,815,448,653,558,418,493,535,337,126,128,158,319,484,302,554,499,473,313,312,781,752,503,702,114,57,528
"Homo sapiens","Homo_sapiens_98.72_Talus_Dorsal_L.png",0.007574,478,655,649,690,477,402,335,315,475,682,713,295,237,278,540,601,731,400,669,595,382,505,579,396,203,144,172,344,518,325,597,500,489,356,358,823,812,627,729,174,130,533
"Homo sapiens","Homo_sapiens_98-183m_Talus_Dorsal_L.png",0.006006,670,946,891,932,677,510,413,430,663,1009,1041,372,287,341,777,922,1078,557,850,688,543,671,730,434,115,96,131,393,665,381,718,654,617,458,459,1030,988,727,929,92,65,703
"Homo sapiens","Homo_sapiens_98-4m_Talus_Dorsal_L.png",0.006896,592,787,746,698,588,399,303,391,581,857,881,321,204,255,678,764,920,523,635,495,477,756,701,472,266,249,295,546,751,496,710,685,752,641,628,1046,1031,864,968,224,189,798
"Homo sapiens","Homo_sapiens_98-55m_Talus_Dorsal_L.png",0.007142,569,849,783,739,567,419,325,395,571,871,890,321,231,280,661,777,921,514,717,571,455,748,737,548,343,312,318,566,767,536,730,692,701,573,566,1041,1011,755,966,184,160,772
"Homo sapiens","Homo_sapiens_98-88f_Talus_Dorsal_L.png",0.00578,529,753,727,728,525,363,316,332,527,796,828,305,187,245,653,758,899,477,693,504,417,670,651,429,217,211,235,444,653,440,651,611,643,500,500,1004,983,703,916,196,119,694
"Homo sapiens","Homo_sapiens_98-99f_Talus_Dorsal_L.png",0.005208,573,821,797,782,573,403,319,342,565,863,910,310,174,240,656,774,945,461,715,467,429,802,821,566,276,274,317,568,804,556,809,733,778,580,580,1142,1121,826,1025,239,206,822
"Homo sapiens","Homo_sapiens_98.277_Talus_Dorsal_L.png",0.006578,619,917,861,844,621,473,411,426,611,945,953,376,260,330,742,821,1000,533,811,641,493,762,787,531,267,227,254,509,747,510,776,737,702,543,544,1093,1078,800,1001,214,138,774
"Homo sapiens","Homo_sapiens_98.319_Talus_Dorsal_L.png",0.005291,571,852,818,830,571,413,345,385,562,898,949,313,196,263,735,828,1013,506,758,629,464,742,739,471,195,190,242,506,757,472,754,647,729,507,511,1117,1100,805,1016,142,125,759
"Homo sapiens","Homo_sapiens_98.56m_Talus_Dorsal_L.png",0.006943,570,814,762,735,571,426,325,373,568,858,875,331,197,256,638,729,904,440,691,541,422,708,683,484,266,230,255,445,675,461,688,657,688,547,543,1016,1002,816,924,206,190,714
"Homo sapiens","Homo_sapiens_98.59m_Talus_Dorsal_L.png",0.006329,649,916,888,897,641,481,404,445,638,951,989,366,249,325,772,913,1047,569,803,628,533,762,803,613,395,275,280,544,800,514,825,723,762,559,556,1157,1119,810,1077,229,183,816
"Homo sapiens","Homo_sapiens_98.95_Talus_Dorsal_L.png",0.006173,528,727,700,702,518,333,255,287,518,781,820,215,81,173,572,712,870,367,700,515,348,1064,1056,858,630,556,578,842,1113,826,1077,990,1026,807,804,1392,1357,1095,1285,458,373,1137
"Homo sapiens","Homo_sapiens_CMNH_HTH_248_Talus_Dorsal_L.png",0.00565,543,848,782,783,547,348,308,347,542,886,937,308,134,219,725,847,1024,494,774,600,451,876,885,584,295,264,323,620,884,571,884,798,838,618,616,1220,1189,934,1118,247,244,909
"Homo sapiens","Homo_sapiens_CMNH_HTH_545_Talus_Dorsal_L.png",0.005882,530,787,745,751,523,334,271,302,519,827,848,261,143,206,630,725,891,421,664,533,389,641,697,466,227,170,195,427,669,430,700,662,641,532,532,969,953,689,888,174,110,684
"Homo sapiens","Homo_sapiens_CMNH_HTH_603_Talus_Dorsal_L.png",0.005779,530,787,745,751,523,334,271,302,519,827,848,261,143,206,630,725,891,421,664,533,389,641,697,466,227,170,195,427,669,430,700,662,641,532,532,969,953,689,888,174,110,684
"Hylobates","Hylobates_103345_Talus_Dorsal_L.png",0.001934,532,807,703,665,527,336,300,304,531,877,906,273,152,211,814,859,997,571,703,409,501,751,774,513,226,201,214,485,774,485,833,774,759,652,651,1173,1168,912,1055,194,184,806
